procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    436 3313116  31760 637472    0    0    28    75  527 1167  1  2 97  1  0
 0  0    364 3314164  31784 637908   52    0   588     0  630  673  7  6 85  2  0
 0  0    364 3314712  31784 637968    0    0     0     0   66   70  0  0 100  0  0
 0  0    364 3314992  31784 638012    0    0     0     0   59   68  0  1 99  0  0
 0  0    364 3314960  31784 638012    0    0     0     0   68   71  0  0 100  0  0
 0  1    364 3314992  31788 638008    0    0     0   100   67   79  0  0 99  0  0
 0  0    364 3315140  31792 638012    0    0     0     4   74   91  0  0 93  6  0
 0  0    364 3315132  31792 638012    0    0     0     0   63   64  0  0 100  0  0
 0  0    364 3315264  31792 638012    0    0     0     0   72   85  0  1 100  0  0
 0  0    364 3315264  31792 638012    0    0     0     0   73   80  0  0 100  0  0
 0  0    364 3315512  31792 638012    0    0     0     0   64   69  0  0 100  0  0
 0  0    364 3315356  31800 638004    0    0     0    92   75   79  0  0 97  3  0
 0  0    364 3315544  31800 638012    0    0     0     0   66   77  0  0 100  0  0
 0  0    364 3315544  31800 638012    0    0     0     0   66   66  0  0 99  0  0
 0  0    364 3315668  31800 637952    0    0     0     0   65   73  0  0 100  0  0
 0  0    364 3315520  31800 637952    0    0     0     0   65   68  0  0 100  0  0
 0  0    364 3315792  31808 637952    0    0     0    12   76   94  0  0 97  2  0
 0  0    364 3315588  31808 637952    0    0     0     4   65   65  0  0 99  0  0
 0  0    364 3315792  31808 637952    0    0     0     0   67   73  0  0 100  0  0
 0  0    364 3315796  31808 637952    0    0     0     0   69   74  0  0 99  0  0
 0  0    364 3315916  31808 637952    0    0     0     0   67   82  0  1 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3315768  31816 637944    0    0     0    12   77   90  0  0 97  3  0
 0  0    364 3316040  31816 637952    0    0     0     0   64   73  0  0 100  0  0
 0  0    364 3315884  31816 637952    0    0     0     4   65   66  0  0 100  0  0
 0  0    364 3316040  31816 637952    0    0     0     0   70   84  0  0 100  0  0
 2  0    364 3311404  31824 638384    0    0   672     0  658  839  4  3 92  1  0
 0  0    364 3311528  31832 638696    0    0     0    20  162  192  0  0 96  4  0
 0  0    364 3311356  31832 638704    0    0     0     0  175  197  1  1 99  0  0
 0  0    364 3311264  31832 638704    0    0     0     0   69   77  0  0 100  0  0
 0  0    364 3311388  31832 638704    0    0     0    28   82   89  0  0 100  0  0
 0  0    364 3311452  31832 638704    0    0     0     0   55   64  0  0 100  0  0
 0  0    364 3311404  31832 638704    0    0     0     0   67   80  0  0 100  0  0
 0  0    364 3311452  31840 638704    0    0     0    44   75   89  0  0 99  1  0
 0  0    364 3311512  31840 638704    0    0     0     0   68   81  0  0 100  0  0
 0  0    364 3311576  31840 638704    0    0     0     0   62   71  0  0 100  0  0
 0  0    364 3311512  31840 638712    0    0     0     0   68   82  0  0 99  0  0
 0  0    364 3311428  31840 638712    0    0     0     0   70   78  0  0 100  0  0
 0  0    364 3311528  31848 638720    0    0     0    12   77   92  0  0 96  3  0
 0  0    364 3311584  31848 638720    0    0     0     0   63   68  0  0 100  0  0
 0  0    364 3311544  31848 638728    0    0     0     0   76   89  0  0 100  0  0
 0  0    364 3311460  31848 638728    0    0     0     0   72   82  0  0 100  0  0
 0  0    364 3311420  31848 638736    0    0     0     0   62   78  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311436  31856 638736    0    0     0    12   76   87  0  0 97  3  0
 0  0    364 3311436  31856 638744    0    0     0     0   65   73  0  0 100  0  0
 0  0    364 3311412  31856 638744    0    0     0     0   62   68  0  0 100  0  0
 0  0    364 3311420  31856 638756    0    0     0     0   71   83  0  1 100  0  0
 0  0    364 3311164  31856 638756    0    0     0     0   66   62  0  0 100  0  0
 0  0    364 3311428  31864 638764    0    0     0    12   73   91  0  0 98  2  0
 0  0    364 3311180  31864 638764    0    0     0     0   66   73  0  0 100  0  0
 0  0    364 3311420  31864 638772    0    0     0     0   75   87  0  0 100  0  0
 0  0    364 3311164  31864 638772    0    0     0     0   69   74  0  0 100  0  0
 0  0    364 3311260  31864 638780    0    0     0     0   66   78  0  1 100  0  0
 0  0    364 3311004  31872 638772    0    0     0    12   77   88  0  0 98  2  0
